"node_id"	"level1_id"	"level1_name"	"level2_id"	"level2_name"	"level3_id"	"level3_name"	"level4_id"	"level4_name"	"level5_id"	"level5_name"	"full_path"
"146973"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146973"	"CX_CASA"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > CX_CASA"
"146974"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146974"	"PAYMENT & CHANNEL"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL"
"146975"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146975"	"BRANCH & COPs MGT"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > BRANCH & COPs MGT"
"146976"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146975"	"BRANCH & COPs MGT"	"146976"	"CX_SI"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > BRANCH & COPs MGT > CX_SI"
"146977"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146975"	"BRANCH & COPs MGT"	"146977"	"CX_OBBRN"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > BRANCH & COPs MGT > CX_OBBRN"
"146978"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146974"	"PAYMENT & CHANNEL"	"146978"	"CX_MKONONI"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_MKONONI"
"146979"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146974"	"PAYMENT & CHANNEL"	"146979"	"CX_WAKALA"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_WAKALA"
"146980"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"146974"	"PAYMENT & CHANNEL"	"146980"	"CX_POS & ATM"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_POS & ATM"
"147577"	"1"	"FUCTIONAL TESTING"	"147577"	"CYCLE 3"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 3"
"147578"	"1"	"FUCTIONAL TESTING"	"141655"	"TBD"	"147578"	"CORE MANAGEMENT"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > TBD > CORE MANAGEMENT"
