"test_path","testcase_count","passed_count","failed_count","blocked_count","not_run_count","pass_rate","fail_rate","block_rate","pending_rate"
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > TRADE & TREASURY > C1R_OBTF,254,254,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > C1_RETEST & VERIFICATION > TRADE & TREASURY > C1R_TFPM,58,58,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CASA > CRT_CASA,633,633,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CASA > CRT_LQM,23,23,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CASA > CRT_TD,216,216,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CRT_BRANCH & COPS MGT,272,272,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CRT_ATM,24,24,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CRT_BOOK TRANSFER,19,19,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CRT_CLEARING TRXN,19,19,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CRT_CROSS BOARDER (CB),7,7,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CRT_CROSS BOARDER (CBPMP),38,38,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CRT_HIGH VALUE TRXN,6,6,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CRT_LOW VALUE TRXN,72,72,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > LENDING > INTERMODULAR,182,182,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > LENDING > OD,112,112,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > LENDING > SYNDICATION,293,293,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > REPORTS & NOTIFICATIONS > CASA > RN_CASA,18,18,0,0,0,100.00,0.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 2 > REPORTS & NOTIFICATIONS > CASA > RN_TD,10,10,0,0,0,100.00,0.00,0.00,0.00
